echo 0000 | nc 10.212.175.197 8000
echo 5664 | nc 10.212.175.197 8000
echo 5665 | nc 10.212.175.197 8000
echo 5666 | nc 10.212.175.197 8000
echo 5667 | nc 10.212.175.197 8000
echo 5668 | nc 10.212.175.197 8000
echo 5669 | nc 10.212.175.197 8000
echo 5670 | nc 10.212.175.197 8000
echo 5671 | nc 10.212.175.197 8000
echo 5672 | nc 10.212.175.197 8000
echo 5673 | nc 10.212.175.197 8000
echo 5674 | nc 10.212.175.197 8000
echo 5675 | nc 10.212.175.197 8000
echo 5676 | nc 10.212.175.197 8000
echo 5677 | nc 10.212.175.197 8000
echo 5678 | nc 10.212.175.197 8000
echo 5679 | nc 10.212.175.197 8000
echo 5680 | nc 10.212.175.197 8000
echo 5681 | nc 10.212.175.197 8000
echo 5682 | nc 10.212.175.197 8000
echo 5683 | nc 10.212.175.197 8000
echo 5684 | nc 10.212.175.197 8000
echo 5685 | nc 10.212.175.197 8000
echo 5686 | nc 10.212.175.197 8000
echo 5687 | nc 10.212.175.197 8000
echo 5688 | nc 10.212.175.197 8000
echo 5689 | nc 10.212.175.197 8000
echo 5690 | nc 10.212.175.197 8000
echo 5691 | nc 10.212.175.197 8000
echo 5692 | nc 10.212.175.197 8000
echo 5693 | nc 10.212.175.197 8000
echo 5694 | nc 10.212.175.197 8000
echo 5695 | nc 10.212.175.197 8000
echo 5696 | nc 10.212.175.197 8000
echo 5697 | nc 10.212.175.197 8000
echo 5698 | nc 10.212.175.197 8000
echo 5699 | nc 10.212.175.197 8000
echo 5700 | nc 10.212.175.197 8000
echo 5701 | nc 10.212.175.197 8000
echo 5702 | nc 10.212.175.197 8000
echo 5703 | nc 10.212.175.197 8000
echo 5704 | nc 10.212.175.197 8000
echo 5705 | nc 10.212.175.197 8000
echo 5706 | nc 10.212.175.197 8000
echo 5707 | nc 10.212.175.197 8000
echo 5708 | nc 10.212.175.197 8000
echo 5709 | nc 10.212.175.197 8000
echo 5710 | nc 10.212.175.197 8000
echo 5711 | nc 10.212.175.197 8000
echo 5712 | nc 10.212.175.197 8000
echo 5713 | nc 10.212.175.197 8000
echo 5714 | nc 10.212.175.197 8000
echo 5715 | nc 10.212.175.197 8000
echo 5716 | nc 10.212.175.197 8000
echo 5717 | nc 10.212.175.197 8000
echo 5718 | nc 10.212.175.197 8000
echo 5719 | nc 10.212.175.197 8000
echo 5720 | nc 10.212.175.197 8000
echo 5721 | nc 10.212.175.197 8000
echo 5722 | nc 10.212.175.197 8000
echo 5723 | nc 10.212.175.197 8000
echo 5724 | nc 10.212.175.197 8000
echo 5725 | nc 10.212.175.197 8000
echo 5726 | nc 10.212.175.197 8000
echo 5727 | nc 10.212.175.197 8000
echo 5728 | nc 10.212.175.197 8000
echo 5729 | nc 10.212.175.197 8000
echo 5730 | nc 10.212.175.197 8000
echo 5731 | nc 10.212.175.197 8000
echo 5732 | nc 10.212.175.197 8000
echo 5733 | nc 10.212.175.197 8000
echo 5734 | nc 10.212.175.197 8000
echo 5735 | nc 10.212.175.197 8000
echo 5736 | nc 10.212.175.197 8000
echo 5737 | nc 10.212.175.197 8000
echo 5738 | nc 10.212.175.197 8000
echo 5739 | nc 10.212.175.197 8000
echo 5740 | nc 10.212.175.197 8000
echo 5741 | nc 10.212.175.197 8000
echo 5742 | nc 10.212.175.197 8000
echo 5743 | nc 10.212.175.197 8000
echo 5744 | nc 10.212.175.197 8000
echo 5745 | nc 10.212.175.197 8000
echo 5746 | nc 10.212.175.197 8000
echo 5747 | nc 10.212.175.197 8000
echo 5748 | nc 10.212.175.197 8000
echo 5749 | nc 10.212.175.197 8000
echo 5750 | nc 10.212.175.197 8000
echo 5751 | nc 10.212.175.197 8000
echo 5752 | nc 10.212.175.197 8000
echo 5753 | nc 10.212.175.197 8000
echo 5754 | nc 10.212.175.197 8000
echo 5755 | nc 10.212.175.197 8000
echo 5756 | nc 10.212.175.197 8000
echo 5757 | nc 10.212.175.197 8000
echo 5758 | nc 10.212.175.197 8000
echo 5759 | nc 10.212.175.197 8000
echo 5760 | nc 10.212.175.197 8000
echo 5761 | nc 10.212.175.197 8000
echo 5762 | nc 10.212.175.197 8000
echo 5763 | nc 10.212.175.197 8000
echo 5764 | nc 10.212.175.197 8000
echo 5765 | nc 10.212.175.197 8000
echo 5766 | nc 10.212.175.197 8000
echo 5767 | nc 10.212.175.197 8000
echo 5768 | nc 10.212.175.197 8000
echo 5769 | nc 10.212.175.197 8000
echo 5770 | nc 10.212.175.197 8000
echo 5771 | nc 10.212.175.197 8000
echo 5772 | nc 10.212.175.197 8000
echo 5773 | nc 10.212.175.197 8000
echo 5774 | nc 10.212.175.197 8000
echo 5775 | nc 10.212.175.197 8000
echo 5776 | nc 10.212.175.197 8000
echo 5777 | nc 10.212.175.197 8000
echo 5778 | nc 10.212.175.197 8000
echo 5779 | nc 10.212.175.197 8000
echo 5780 | nc 10.212.175.197 8000
echo 5781 | nc 10.212.175.197 8000
echo 5782 | nc 10.212.175.197 8000
echo 5783 | nc 10.212.175.197 8000
echo 5784 | nc 10.212.175.197 8000
echo 5785 | nc 10.212.175.197 8000
echo 5786 | nc 10.212.175.197 8000
echo 5787 | nc 10.212.175.197 8000
echo 5788 | nc 10.212.175.197 8000
echo 5789 | nc 10.212.175.197 8000
echo 5790 | nc 10.212.175.197 8000
echo 5791 | nc 10.212.175.197 8000
echo 5792 | nc 10.212.175.197 8000
echo 5793 | nc 10.212.175.197 8000
echo 5794 | nc 10.212.175.197 8000
echo 5795 | nc 10.212.175.197 8000
echo 5796 | nc 10.212.175.197 8000
echo 5797 | nc 10.212.175.197 8000
echo 5798 | nc 10.212.175.197 8000
echo 5799 | nc 10.212.175.197 8000
echo 5800 | nc 10.212.175.197 8000
echo 5801 | nc 10.212.175.197 8000
echo 5802 | nc 10.212.175.197 8000
echo 5803 | nc 10.212.175.197 8000
echo 5804 | nc 10.212.175.197 8000
echo 5805 | nc 10.212.175.197 8000
echo 5806 | nc 10.212.175.197 8000
echo 5807 | nc 10.212.175.197 8000
echo 5808 | nc 10.212.175.197 8000
echo 5809 | nc 10.212.175.197 8000
echo 5810 | nc 10.212.175.197 8000
echo 5811 | nc 10.212.175.197 8000
echo 5812 | nc 10.212.175.197 8000
echo 5813 | nc 10.212.175.197 8000
echo 5814 | nc 10.212.175.197 8000
echo 5815 | nc 10.212.175.197 8000
echo 5816 | nc 10.212.175.197 8000
echo 5817 | nc 10.212.175.197 8000
echo 5818 | nc 10.212.175.197 8000
echo 5819 | nc 10.212.175.197 8000
echo 5820 | nc 10.212.175.197 8000
echo 5821 | nc 10.212.175.197 8000
echo 5822 | nc 10.212.175.197 8000
echo 5823 | nc 10.212.175.197 8000
echo 5824 | nc 10.212.175.197 8000
echo 5825 | nc 10.212.175.197 8000
echo 5826 | nc 10.212.175.197 8000
echo 5827 | nc 10.212.175.197 8000
echo 5828 | nc 10.212.175.197 8000
echo 5829 | nc 10.212.175.197 8000
echo 5830 | nc 10.212.175.197 8000
echo 5831 | nc 10.212.175.197 8000
echo 5832 | nc 10.212.175.197 8000
echo 5833 | nc 10.212.175.197 8000
echo 5834 | nc 10.212.175.197 8000
echo 5835 | nc 10.212.175.197 8000
echo 5836 | nc 10.212.175.197 8000
echo 5837 | nc 10.212.175.197 8000
echo 5838 | nc 10.212.175.197 8000
echo 5839 | nc 10.212.175.197 8000
echo 5840 | nc 10.212.175.197 8000
echo 5841 | nc 10.212.175.197 8000
echo 5842 | nc 10.212.175.197 8000
echo 5843 | nc 10.212.175.197 8000
echo 5844 | nc 10.212.175.197 8000
echo 5845 | nc 10.212.175.197 8000
echo 5846 | nc 10.212.175.197 8000
echo 5847 | nc 10.212.175.197 8000
echo 5848 | nc 10.212.175.197 8000
echo 5849 | nc 10.212.175.197 8000
echo 5850 | nc 10.212.175.197 8000
echo 5851 | nc 10.212.175.197 8000
echo 5852 | nc 10.212.175.197 8000
echo 5853 | nc 10.212.175.197 8000
echo 5854 | nc 10.212.175.197 8000
echo 5855 | nc 10.212.175.197 8000
echo 5856 | nc 10.212.175.197 8000
echo 5857 | nc 10.212.175.197 8000
echo 5858 | nc 10.212.175.197 8000
echo 5859 | nc 10.212.175.197 8000
echo 5860 | nc 10.212.175.197 8000
echo 5861 | nc 10.212.175.197 8000
echo 5862 | nc 10.212.175.197 8000
echo 5863 | nc 10.212.175.197 8000
echo 5864 | nc 10.212.175.197 8000
echo 5865 | nc 10.212.175.197 8000
echo 5866 | nc 10.212.175.197 8000
echo 5867 | nc 10.212.175.197 8000
echo 5868 | nc 10.212.175.197 8000
echo 5869 | nc 10.212.175.197 8000
echo 5870 | nc 10.212.175.197 8000
echo 5871 | nc 10.212.175.197 8000
echo 5872 | nc 10.212.175.197 8000
echo 5873 | nc 10.212.175.197 8000
echo 5874 | nc 10.212.175.197 8000
echo 5875 | nc 10.212.175.197 8000
echo 5876 | nc 10.212.175.197 8000
echo 5877 | nc 10.212.175.197 8000
echo 5878 | nc 10.212.175.197 8000
echo 5879 | nc 10.212.175.197 8000
echo 5880 | nc 10.212.175.197 8000
echo 5881 | nc 10.212.175.197 8000
echo 5882 | nc 10.212.175.197 8000
echo 5883 | nc 10.212.175.197 8000
echo 5884 | nc 10.212.175.197 8000
echo 5885 | nc 10.212.175.197 8000
echo 5886 | nc 10.212.175.197 8000
echo 5887 | nc 10.212.175.197 8000
echo 5888 | nc 10.212.175.197 8000
echo 5889 | nc 10.212.175.197 8000
echo 5890 | nc 10.212.175.197 8000
echo 5891 | nc 10.212.175.197 8000
echo 5892 | nc 10.212.175.197 8000
echo 5893 | nc 10.212.175.197 8000
echo 5894 | nc 10.212.175.197 8000
echo 5895 | nc 10.212.175.197 8000
echo 5896 | nc 10.212.175.197 8000
echo 5897 | nc 10.212.175.197 8000
echo 5898 | nc 10.212.175.197 8000
echo 5899 | nc 10.212.175.197 8000
echo 5900 | nc 10.212.175.197 8000
echo 5901 | nc 10.212.175.197 8000
echo 5902 | nc 10.212.175.197 8000
echo 5903 | nc 10.212.175.197 8000
echo 5904 | nc 10.212.175.197 8000
echo 5905 | nc 10.212.175.197 8000
echo 5906 | nc 10.212.175.197 8000
echo 5907 | nc 10.212.175.197 8000
echo 5908 | nc 10.212.175.197 8000
echo 5909 | nc 10.212.175.197 8000
echo 5910 | nc 10.212.175.197 8000
echo 5911 | nc 10.212.175.197 8000
echo 5912 | nc 10.212.175.197 8000
echo 5913 | nc 10.212.175.197 8000
echo 5914 | nc 10.212.175.197 8000
echo 5915 | nc 10.212.175.197 8000
echo 5916 | nc 10.212.175.197 8000
echo 5917 | nc 10.212.175.197 8000
echo 5918 | nc 10.212.175.197 8000
echo 5919 | nc 10.212.175.197 8000
echo 5920 | nc 10.212.175.197 8000
echo 5921 | nc 10.212.175.197 8000
echo 5922 | nc 10.212.175.197 8000
echo 5923 | nc 10.212.175.197 8000
echo 5924 | nc 10.212.175.197 8000
echo 5925 | nc 10.212.175.197 8000
echo 5926 | nc 10.212.175.197 8000
echo 5927 | nc 10.212.175.197 8000
echo 5928 | nc 10.212.175.197 8000
echo 5929 | nc 10.212.175.197 8000
echo 5930 | nc 10.212.175.197 8000
echo 5931 | nc 10.212.175.197 8000
echo 5932 | nc 10.212.175.197 8000
echo 5933 | nc 10.212.175.197 8000
echo 5934 | nc 10.212.175.197 8000
echo 5935 | nc 10.212.175.197 8000
echo 5936 | nc 10.212.175.197 8000
echo 5937 | nc 10.212.175.197 8000
echo 5938 | nc 10.212.175.197 8000
echo 5939 | nc 10.212.175.197 8000
echo 5940 | nc 10.212.175.197 8000
echo 5941 | nc 10.212.175.197 8000
echo 5942 | nc 10.212.175.197 8000
echo 5943 | nc 10.212.175.197 8000
echo 5944 | nc 10.212.175.197 8000
echo 5945 | nc 10.212.175.197 8000
echo 5946 | nc 10.212.175.197 8000
echo 5947 | nc 10.212.175.197 8000
echo 5948 | nc 10.212.175.197 8000
echo 5949 | nc 10.212.175.197 8000
echo 5950 | nc 10.212.175.197 8000
echo 5951 | nc 10.212.175.197 8000
echo 5952 | nc 10.212.175.197 8000
echo 5953 | nc 10.212.175.197 8000
echo 5954 | nc 10.212.175.197 8000
echo 5955 | nc 10.212.175.197 8000
echo 5956 | nc 10.212.175.197 8000
echo 5957 | nc 10.212.175.197 8000
echo 5958 | nc 10.212.175.197 8000
echo 5959 | nc 10.212.175.197 8000
echo 5960 | nc 10.212.175.197 8000
echo 5961 | nc 10.212.175.197 8000
echo 5962 | nc 10.212.175.197 8000
echo 5963 | nc 10.212.175.197 8000
echo 5964 | nc 10.212.175.197 8000
echo 5965 | nc 10.212.175.197 8000
echo 5966 | nc 10.212.175.197 8000
echo 5967 | nc 10.212.175.197 8000
echo 5968 | nc 10.212.175.197 8000
echo 5969 | nc 10.212.175.197 8000
echo 5970 | nc 10.212.175.197 8000
echo 5971 | nc 10.212.175.197 8000
echo 5972 | nc 10.212.175.197 8000
echo 5973 | nc 10.212.175.197 8000
echo 5974 | nc 10.212.175.197 8000
echo 5975 | nc 10.212.175.197 8000
echo 5976 | nc 10.212.175.197 8000
echo 5977 | nc 10.212.175.197 8000
echo 5978 | nc 10.212.175.197 8000
echo 5979 | nc 10.212.175.197 8000
echo 5980 | nc 10.212.175.197 8000
echo 5981 | nc 10.212.175.197 8000
echo 5982 | nc 10.212.175.197 8000
echo 5983 | nc 10.212.175.197 8000
echo 5984 | nc 10.212.175.197 8000
echo 5985 | nc 10.212.175.197 8000
echo 5986 | nc 10.212.175.197 8000
echo 5987 | nc 10.212.175.197 8000
echo 5988 | nc 10.212.175.197 8000
echo 5989 | nc 10.212.175.197 8000
echo 5990 | nc 10.212.175.197 8000
echo 5991 | nc 10.212.175.197 8000
echo 5992 | nc 10.212.175.197 8000
echo 5993 | nc 10.212.175.197 8000
echo 5994 | nc 10.212.175.197 8000
echo 5995 | nc 10.212.175.197 8000
echo 5996 | nc 10.212.175.197 8000
echo 5997 | nc 10.212.175.197 8000
echo 5998 | nc 10.212.175.197 8000
echo 5999 | nc 10.212.175.197 8000
echo 6000 | nc 10.212.175.197 8000
echo 6001 | nc 10.212.175.197 8000
echo 6002 | nc 10.212.175.197 8000
echo 6003 | nc 10.212.175.197 8000
echo 6004 | nc 10.212.175.197 8000
echo 6005 | nc 10.212.175.197 8000
echo 6006 | nc 10.212.175.197 8000
echo 6007 | nc 10.212.175.197 8000
echo 6008 | nc 10.212.175.197 8000
echo 6009 | nc 10.212.175.197 8000
echo 6010 | nc 10.212.175.197 8000
echo 6011 | nc 10.212.175.197 8000
echo 6012 | nc 10.212.175.197 8000
echo 6013 | nc 10.212.175.197 8000
echo 6014 | nc 10.212.175.197 8000
echo 6015 | nc 10.212.175.197 8000
echo 6016 | nc 10.212.175.197 8000
echo 6017 | nc 10.212.175.197 8000
echo 6018 | nc 10.212.175.197 8000
echo 6019 | nc 10.212.175.197 8000
echo 6020 | nc 10.212.175.197 8000
echo 6021 | nc 10.212.175.197 8000
echo 6022 | nc 10.212.175.197 8000
echo 6023 | nc 10.212.175.197 8000
echo 6024 | nc 10.212.175.197 8000
echo 6025 | nc 10.212.175.197 8000
echo 6026 | nc 10.212.175.197 8000
echo 6027 | nc 10.212.175.197 8000
echo 6028 | nc 10.212.175.197 8000
echo 6029 | nc 10.212.175.197 8000
echo 6030 | nc 10.212.175.197 8000
echo 6031 | nc 10.212.175.197 8000
echo 6032 | nc 10.212.175.197 8000
echo 6033 | nc 10.212.175.197 8000
echo 6034 | nc 10.212.175.197 8000
echo 6035 | nc 10.212.175.197 8000
echo 6036 | nc 10.212.175.197 8000
echo 6037 | nc 10.212.175.197 8000
echo 6038 | nc 10.212.175.197 8000
echo 6039 | nc 10.212.175.197 8000
echo 6040 | nc 10.212.175.197 8000
echo 6041 | nc 10.212.175.197 8000
echo 6042 | nc 10.212.175.197 8000
echo 6043 | nc 10.212.175.197 8000
echo 6044 | nc 10.212.175.197 8000
echo 6045 | nc 10.212.175.197 8000
echo 6046 | nc 10.212.175.197 8000
echo 6047 | nc 10.212.175.197 8000
echo 6048 | nc 10.212.175.197 8000
echo 6049 | nc 10.212.175.197 8000
echo 6050 | nc 10.212.175.197 8000
echo 6051 | nc 10.212.175.197 8000
echo 6052 | nc 10.212.175.197 8000
echo 6053 | nc 10.212.175.197 8000
echo 6054 | nc 10.212.175.197 8000
echo 6055 | nc 10.212.175.197 8000
echo 6056 | nc 10.212.175.197 8000
echo 6057 | nc 10.212.175.197 8000
echo 6058 | nc 10.212.175.197 8000
echo 6059 | nc 10.212.175.197 8000
echo 6060 | nc 10.212.175.197 8000
echo 6061 | nc 10.212.175.197 8000
echo 6062 | nc 10.212.175.197 8000
echo 6063 | nc 10.212.175.197 8000
echo 6064 | nc 10.212.175.197 8000
echo 6065 | nc 10.212.175.197 8000
echo 6066 | nc 10.212.175.197 8000
echo 6067 | nc 10.212.175.197 8000
echo 6068 | nc 10.212.175.197 8000
echo 6069 | nc 10.212.175.197 8000
echo 6070 | nc 10.212.175.197 8000
echo 6071 | nc 10.212.175.197 8000
echo 6072 | nc 10.212.175.197 8000
echo 6073 | nc 10.212.175.197 8000
echo 6074 | nc 10.212.175.197 8000
echo 6075 | nc 10.212.175.197 8000
echo 6076 | nc 10.212.175.197 8000
echo 6077 | nc 10.212.175.197 8000
echo 6078 | nc 10.212.175.197 8000
echo 6079 | nc 10.212.175.197 8000
echo 6080 | nc 10.212.175.197 8000
echo 6081 | nc 10.212.175.197 8000
echo 6082 | nc 10.212.175.197 8000
echo 6083 | nc 10.212.175.197 8000
echo 6084 | nc 10.212.175.197 8000
echo 6085 | nc 10.212.175.197 8000
echo 6086 | nc 10.212.175.197 8000
echo 6087 | nc 10.212.175.197 8000
echo 6088 | nc 10.212.175.197 8000
echo 6089 | nc 10.212.175.197 8000
echo 6090 | nc 10.212.175.197 8000
echo 6091 | nc 10.212.175.197 8000
echo 6092 | nc 10.212.175.197 8000
echo 6093 | nc 10.212.175.197 8000
echo 6094 | nc 10.212.175.197 8000
echo 6095 | nc 10.212.175.197 8000
echo 6096 | nc 10.212.175.197 8000
echo 6097 | nc 10.212.175.197 8000
echo 6098 | nc 10.212.175.197 8000
echo 6099 | nc 10.212.175.197 8000
echo 6100 | nc 10.212.175.197 8000
echo 6101 | nc 10.212.175.197 8000
echo 6102 | nc 10.212.175.197 8000
echo 6103 | nc 10.212.175.197 8000
echo 6104 | nc 10.212.175.197 8000
echo 6105 | nc 10.212.175.197 8000
echo 6106 | nc 10.212.175.197 8000
echo 6107 | nc 10.212.175.197 8000
echo 6108 | nc 10.212.175.197 8000
echo 6109 | nc 10.212.175.197 8000
echo 6110 | nc 10.212.175.197 8000
echo 6111 | nc 10.212.175.197 8000
echo 6112 | nc 10.212.175.197 8000
echo 6113 | nc 10.212.175.197 8000
echo 6114 | nc 10.212.175.197 8000
echo 6115 | nc 10.212.175.197 8000
echo 6116 | nc 10.212.175.197 8000
echo 6117 | nc 10.212.175.197 8000
echo 6118 | nc 10.212.175.197 8000
echo 6119 | nc 10.212.175.197 8000
echo 6120 | nc 10.212.175.197 8000
echo 6121 | nc 10.212.175.197 8000
echo 6122 | nc 10.212.175.197 8000
echo 6123 | nc 10.212.175.197 8000
echo 6124 | nc 10.212.175.197 8000
echo 6125 | nc 10.212.175.197 8000
echo 6126 | nc 10.212.175.197 8000
echo 6127 | nc 10.212.175.197 8000
echo 6128 | nc 10.212.175.197 8000
echo 6129 | nc 10.212.175.197 8000
echo 6130 | nc 10.212.175.197 8000
echo 6131 | nc 10.212.175.197 8000
echo 6132 | nc 10.212.175.197 8000
echo 6133 | nc 10.212.175.197 8000
echo 6134 | nc 10.212.175.197 8000
echo 6135 | nc 10.212.175.197 8000
echo 6136 | nc 10.212.175.197 8000
echo 6137 | nc 10.212.175.197 8000
echo 6138 | nc 10.212.175.197 8000
echo 6139 | nc 10.212.175.197 8000
echo 6140 | nc 10.212.175.197 8000
echo 6141 | nc 10.212.175.197 8000
echo 6142 | nc 10.212.175.197 8000
echo 6143 | nc 10.212.175.197 8000
echo 6144 | nc 10.212.175.197 8000
echo 6145 | nc 10.212.175.197 8000
echo 6146 | nc 10.212.175.197 8000
echo 6147 | nc 10.212.175.197 8000
echo 6148 | nc 10.212.175.197 8000
echo 6149 | nc 10.212.175.197 8000
echo 6150 | nc 10.212.175.197 8000
echo 6151 | nc 10.212.175.197 8000
echo 6152 | nc 10.212.175.197 8000
echo 6153 | nc 10.212.175.197 8000
echo 6154 | nc 10.212.175.197 8000
echo 6155 | nc 10.212.175.197 8000
echo 6156 | nc 10.212.175.197 8000
echo 6157 | nc 10.212.175.197 8000
echo 6158 | nc 10.212.175.197 8000
echo 6159 | nc 10.212.175.197 8000
echo 6160 | nc 10.212.175.197 8000
echo 6161 | nc 10.212.175.197 8000
echo 6162 | nc 10.212.175.197 8000
echo 6163 | nc 10.212.175.197 8000
echo 6164 | nc 10.212.175.197 8000
echo 6165 | nc 10.212.175.197 8000
echo 6166 | nc 10.212.175.197 8000
echo 6167 | nc 10.212.175.197 8000
echo 6168 | nc 10.212.175.197 8000
echo 6169 | nc 10.212.175.197 8000
echo 6170 | nc 10.212.175.197 8000
echo 6171 | nc 10.212.175.197 8000
echo 6172 | nc 10.212.175.197 8000
echo 6173 | nc 10.212.175.197 8000
echo 6174 | nc 10.212.175.197 8000
echo 6175 | nc 10.212.175.197 8000
echo 6176 | nc 10.212.175.197 8000
echo 6177 | nc 10.212.175.197 8000
echo 6178 | nc 10.212.175.197 8000
echo 6179 | nc 10.212.175.197 8000
echo 6180 | nc 10.212.175.197 8000
echo 6181 | nc 10.212.175.197 8000
echo 6182 | nc 10.212.175.197 8000
echo 6183 | nc 10.212.175.197 8000
echo 6184 | nc 10.212.175.197 8000
echo 6185 | nc 10.212.175.197 8000
echo 6186 | nc 10.212.175.197 8000
echo 6187 | nc 10.212.175.197 8000
echo 6188 | nc 10.212.175.197 8000
echo 6189 | nc 10.212.175.197 8000
echo 6190 | nc 10.212.175.197 8000
echo 6191 | nc 10.212.175.197 8000
echo 6192 | nc 10.212.175.197 8000
echo 6193 | nc 10.212.175.197 8000
echo 6194 | nc 10.212.175.197 8000
echo 6195 | nc 10.212.175.197 8000
echo 6196 | nc 10.212.175.197 8000
echo 6197 | nc 10.212.175.197 8000
echo 6198 | nc 10.212.175.197 8000
echo 6199 | nc 10.212.175.197 8000
echo 6200 | nc 10.212.175.197 8000
echo 6201 | nc 10.212.175.197 8000
echo 6202 | nc 10.212.175.197 8000
echo 6203 | nc 10.212.175.197 8000
echo 6204 | nc 10.212.175.197 8000
echo 6205 | nc 10.212.175.197 8000
echo 6206 | nc 10.212.175.197 8000
echo 6207 | nc 10.212.175.197 8000
echo 6208 | nc 10.212.175.197 8000
echo 6209 | nc 10.212.175.197 8000
echo 6210 | nc 10.212.175.197 8000
echo 6211 | nc 10.212.175.197 8000
echo 6212 | nc 10.212.175.197 8000
echo 6213 | nc 10.212.175.197 8000
echo 6214 | nc 10.212.175.197 8000
echo 6215 | nc 10.212.175.197 8000
echo 6216 | nc 10.212.175.197 8000
echo 6217 | nc 10.212.175.197 8000
echo 6218 | nc 10.212.175.197 8000
echo 6219 | nc 10.212.175.197 8000
echo 6220 | nc 10.212.175.197 8000
echo 6221 | nc 10.212.175.197 8000
echo 6222 | nc 10.212.175.197 8000
echo 6223 | nc 10.212.175.197 8000
echo 6224 | nc 10.212.175.197 8000
echo 6225 | nc 10.212.175.197 8000
echo 6226 | nc 10.212.175.197 8000
echo 6227 | nc 10.212.175.197 8000
echo 6228 | nc 10.212.175.197 8000
echo 6229 | nc 10.212.175.197 8000
echo 6230 | nc 10.212.175.197 8000
echo 6231 | nc 10.212.175.197 8000
echo 6232 | nc 10.212.175.197 8000
echo 6233 | nc 10.212.175.197 8000
echo 6234 | nc 10.212.175.197 8000
echo 6235 | nc 10.212.175.197 8000
echo 6236 | nc 10.212.175.197 8000
echo 6237 | nc 10.212.175.197 8000
echo 6238 | nc 10.212.175.197 8000
echo 6239 | nc 10.212.175.197 8000
echo 6240 | nc 10.212.175.197 8000
echo 6241 | nc 10.212.175.197 8000
echo 6242 | nc 10.212.175.197 8000
echo 6243 | nc 10.212.175.197 8000
echo 6244 | nc 10.212.175.197 8000
echo 6245 | nc 10.212.175.197 8000
echo 6246 | nc 10.212.175.197 8000
echo 6247 | nc 10.212.175.197 8000
echo 6248 | nc 10.212.175.197 8000
echo 6249 | nc 10.212.175.197 8000
echo 6250 | nc 10.212.175.197 8000
echo 6251 | nc 10.212.175.197 8000
echo 6252 | nc 10.212.175.197 8000
echo 6253 | nc 10.212.175.197 8000
echo 6254 | nc 10.212.175.197 8000
echo 6255 | nc 10.212.175.197 8000
echo 6256 | nc 10.212.175.197 8000
echo 6257 | nc 10.212.175.197 8000
echo 6258 | nc 10.212.175.197 8000
echo 6259 | nc 10.212.175.197 8000
echo 6260 | nc 10.212.175.197 8000
echo 6261 | nc 10.212.175.197 8000
echo 6262 | nc 10.212.175.197 8000
echo 6263 | nc 10.212.175.197 8000
echo 6264 | nc 10.212.175.197 8000
echo 6265 | nc 10.212.175.197 8000
echo 6266 | nc 10.212.175.197 8000
echo 6267 | nc 10.212.175.197 8000
echo 6268 | nc 10.212.175.197 8000
echo 6269 | nc 10.212.175.197 8000
echo 6270 | nc 10.212.175.197 8000
echo 6271 | nc 10.212.175.197 8000
echo 6272 | nc 10.212.175.197 8000
echo 6273 | nc 10.212.175.197 8000
echo 6274 | nc 10.212.175.197 8000
echo 6275 | nc 10.212.175.197 8000
echo 6276 | nc 10.212.175.197 8000
echo 6277 | nc 10.212.175.197 8000
echo 6278 | nc 10.212.175.197 8000
echo 6279 | nc 10.212.175.197 8000
echo 6280 | nc 10.212.175.197 8000
echo 6281 | nc 10.212.175.197 8000
echo 6282 | nc 10.212.175.197 8000
echo 6283 | nc 10.212.175.197 8000
echo 6284 | nc 10.212.175.197 8000
echo 6285 | nc 10.212.175.197 8000
echo 6286 | nc 10.212.175.197 8000
echo 6287 | nc 10.212.175.197 8000
echo 6288 | nc 10.212.175.197 8000
echo 6289 | nc 10.212.175.197 8000
echo 6290 | nc 10.212.175.197 8000
echo 6291 | nc 10.212.175.197 8000
echo 6292 | nc 10.212.175.197 8000
echo 6293 | nc 10.212.175.197 8000
echo 6294 | nc 10.212.175.197 8000
echo 6295 | nc 10.212.175.197 8000
echo 6296 | nc 10.212.175.197 8000
echo 6297 | nc 10.212.175.197 8000
echo 6298 | nc 10.212.175.197 8000
echo 6299 | nc 10.212.175.197 8000
echo 6300 | nc 10.212.175.197 8000
echo 6301 | nc 10.212.175.197 8000
echo 6302 | nc 10.212.175.197 8000
echo 6303 | nc 10.212.175.197 8000
echo 6304 | nc 10.212.175.197 8000
echo 6305 | nc 10.212.175.197 8000
echo 6306 | nc 10.212.175.197 8000
echo 6307 | nc 10.212.175.197 8000
echo 6308 | nc 10.212.175.197 8000
echo 6309 | nc 10.212.175.197 8000
echo 6310 | nc 10.212.175.197 8000
echo 6311 | nc 10.212.175.197 8000
echo 6312 | nc 10.212.175.197 8000
echo 6313 | nc 10.212.175.197 8000
echo 6314 | nc 10.212.175.197 8000
echo 6315 | nc 10.212.175.197 8000
echo 6316 | nc 10.212.175.197 8000
echo 6317 | nc 10.212.175.197 8000
echo 6318 | nc 10.212.175.197 8000
echo 6319 | nc 10.212.175.197 8000
echo 6320 | nc 10.212.175.197 8000
echo 6321 | nc 10.212.175.197 8000
echo 6322 | nc 10.212.175.197 8000
echo 6323 | nc 10.212.175.197 8000
echo 6324 | nc 10.212.175.197 8000
echo 6325 | nc 10.212.175.197 8000
echo 6326 | nc 10.212.175.197 8000
echo 6327 | nc 10.212.175.197 8000
echo 6328 | nc 10.212.175.197 8000
